"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2020","34.29","34.50","36.91","32.95","3.85M","5.31%"
"Apr 08, 2020","32.56","30.42","32.89","29.72","3.97M","10.67%"
"Apr 07, 2020","29.42","30.32","31.71","29.06","5.52M","9.00%"
"Apr 06, 2020","26.99","25.60","27.25","25.03","3.74M","15.05%"
"Apr 03, 2020","23.46","23.54","23.87","22.65","3.94M","-0.30%"
"Apr 02, 2020","23.53","23.30","24.98","22.79","3.37M","-1.34%"
"Apr 01, 2020","23.85","24.20","24.65","23.32","4.45M","-9.38%"
"Mar 31, 2020","26.32","26.91","27.15","26.10","3.86M","-3.52%"
"Mar 30, 2020","27.28","27.10","27.69","25.36","2.82M","-0.66%"
"Mar 27, 2020","27.46","26.10","29.50","25.95","4.18M","-4.55%"
"Mar 26, 2020","28.77","25.50","29.01","24.86","5.82M","14.67%"
"Mar 25, 2020","25.09","24.28","26.86","22.53","5.47M","9.80%"
"Mar 24, 2020","22.85","19.27","23.13","18.82","5.35M","31.70%"
"Mar 23, 2020","17.35","17.05","17.70","16.11","5.80M","1.70%"
"Mar 20, 2020","17.06","19.47","20.29","16.96","4.47M","-11.24%"
"Mar 19, 2020","19.22","19.00","20.73","17.43","3.81M","-2.63%"
"Mar 18, 2020","19.74","20.23","21.93","16.95","4.41M","-13.84%"
"Mar 17, 2020","22.91","22.46","23.38","19.31","4.48M","5.72%"
"Mar 16, 2020","21.67","21.78","25.40","21.45","4.15M","-24.91%"
"Mar 13, 2020","28.86","26.15","28.86","23.67","4.79M","23.49%"
"Mar 12, 2020","23.37","28.73","29.30","23.26","6.20M","-26.67%"
"Mar 11, 2020","31.87","33.59","34.09","31.29","3.33M","-10.23%"
"Mar 10, 2020","35.50","35.38","37.15","33.20","6.36M","11.95%"
"Mar 09, 2020","31.71","34.41","35.42","30.50","4.64M","-16.82%"
"Mar 06, 2020","38.12","38.84","40.16","37.13","3.67M","-7.41%"
"Mar 05, 2020","41.17","43.05","43.37","40.71","2.21M","-8.51%"
"Mar 04, 2020","45.00","45.24","45.25","42.81","3.16M","1.69%"
"Mar 03, 2020","44.25","48.08","48.71","44.15","3.11M","-8.35%"
"Mar 02, 2020","48.28","45.79","48.28","44.84","3.39M","6.37%"
"Feb 28, 2020","45.39","45.87","47.02","44.03","3.92M","-4.90%"
"Feb 27, 2020","47.73","49.52","50.38","47.72","2.82M","-6.74%"
"Feb 26, 2020","51.18","52.75","52.88","51.16","2.38M","-1.77%"
"Feb 25, 2020","52.10","55.26","55.28","51.67","2.55M","-5.44%"
"Feb 24, 2020","55.10","57.09","57.27","54.25","2.75M","-7.81%"
"Feb 21, 2020","59.77","60.22","60.58","59.33","1.77M","-2.06%"
"Feb 20, 2020","61.03","60.56","61.96","60.52","1.43M","0.28%"
"Feb 19, 2020","60.86","60.34","61.11","60.29","1.65M","1.15%"
"Feb 18, 2020","60.17","60.55","61.17","59.66","1.58M","-1.54%"
"Feb 14, 2020","61.11","61.20","61.68","60.64","1.52M","-0.10%"
"Feb 13, 2020","61.17","60.50","61.31","60.48","1.39M","0.31%"
"Feb 12, 2020","60.98","61.08","61.79","60.86","1.69M","0.71%"
"Feb 11, 2020","60.55","60.07","61.51","60.02","1.58M","1.41%"
"Feb 10, 2020","59.71","59.16","59.82","58.77","1.50M","0.42%"
"Feb 07, 2020","59.46","58.55","59.77","58.55","1.86M","0.15%"
"Feb 06, 2020","59.37","60.00","60.61","59.09","2.61M","2.38%"
"Feb 05, 2020","57.99","56.97","58.15","56.91","1.45M","4.15%"
"Feb 04, 2020","55.68","55.72","56.28","55.50","1.15M","2.32%"
"Feb 03, 2020","54.42","54.92","55.83","54.40","1.63M","-0.11%"
"Jan 31, 2020","54.48","55.15","55.54","54.11","1.32M","-2.85%"
"Jan 30, 2020","56.08","54.16","56.11","54.01","1.43M","1.83%"
"Jan 29, 2020","55.07","55.92","56.05","55.06","1.08M","-0.97%"
"Jan 28, 2020","55.61","55.21","56.09","54.84","1.11M","1.76%"
"Jan 27, 2020","54.65","54.87","55.31","54.54","1.45M","-3.36%"
"Jan 24, 2020","56.55","58.34","58.34","55.94","1.67M","-3.05%"
"Jan 23, 2020","58.33","58.08","58.55","57.21","1.31M","-0.66%"
"Jan 22, 2020","58.72","58.75","59.01","58.47","768.22K","0.32%"
"Jan 21, 2020","58.53","59.41","59.47","58.41","1.30M","-2.51%"
"Jan 17, 2020","60.04","59.34","60.15","59.15","1.39M","1.42%"
"Jan 16, 2020","59.20","58.75","59.42","58.45","1.53M","1.65%"
"Jan 15, 2020","58.24","58.55","59.18","57.97","1.24M","-1.65%"
"Jan 14, 2020","59.22","59.03","60.11","58.93","2.01M","0.08%"
"Jan 13, 2020","59.17","59.25","59.39","58.84","1.03M","0.32%"
"Jan 10, 2020","58.98","59.54","59.64","58.82","1.37M","-0.97%"
"Jan 09, 2020","59.56","59.32","59.71","58.78","1.55M","0.91%"
"Jan 08, 2020","59.02","58.36","59.87","58.14","2.38M","1.55%"
"Jan 07, 2020","58.12","58.00","58.25","57.60","1.81M","1.11%"
"Jan 06, 2020","57.48","57.25","57.79","56.83","1.82M","-0.85%"
"Jan 03, 2020","57.97","58.74","58.87","57.62","1.60M","-2.98%"
"Jan 02, 2020","59.75","59.40","59.85","58.90","2.35M","1.25%"
"Dec 31, 2019","59.01","58.63","59.24","58.38","965.90K","0.58%"
"Dec 30, 2019","58.67","59.07","59.17","58.45","842.69K","-0.12%"
"Dec 27, 2019","58.74","59.51","59.63","58.66","1.09M","-1.29%"
"Dec 26, 2019","59.51","59.25","59.78","59.21","1.24M","0.78%"
"Dec 24, 2019","59.05","59.61","59.62","58.98","318.66K","-0.67%"
