"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2020","12.97","12.16","13.41","12.16","7.79M","9.92%"
"Apr 08, 2020","11.80","11.71","12.01","11.44","4.61M","1.11%"
"Apr 07, 2020","11.67","12.18","12.44","11.53","8.00M","3.00%"
"Apr 06, 2020","11.33","10.53","11.61","10.53","7.12M","13.98%"
"Apr 03, 2020","9.94","9.90","10.28","9.68","5.03M","1.22%"
"Apr 02, 2020","9.82","10.35","11.15","9.67","6.17M","-2.87%"
"Apr 01, 2020","10.11","10.25","10.47","10.02","5.45M","-6.56%"
"Mar 31, 2020","10.82","10.84","11.04","10.43","7.85M","8.20%"
"Mar 30, 2020","10.00","9.81","10.20","9.35","4.51M","1.01%"
"Mar 27, 2020","9.90","10.07","10.19","9.52","6.19M","-7.65%"
"Mar 26, 2020","10.72","10.92","11.68","10.48","7.39M","-1.38%"
"Mar 25, 2020","10.87","11.02","11.30","9.88","7.36M","1.59%"
"Mar 24, 2020","10.70","9.98","11.12","9.80","6.58M","16.05%"
"Mar 23, 2020","9.22","9.28","10.13","9.18","5.98M","-3.86%"
"Mar 20, 2020","9.59","8.57","9.84","8.03","10.60M","16.67%"
"Mar 19, 2020","8.22","7.14","8.64","6.94","9.69M","17.26%"
"Mar 18, 2020","7.01","8.93","8.97","6.50","11.14M","-27.51%"
"Mar 17, 2020","9.67","10.10","10.56","9.38","9.86M","-2.81%"
"Mar 16, 2020","9.95","9.43","10.15","9.30","5.97M","-9.63%"
"Mar 13, 2020","11.01","10.48","11.03","9.01","8.05M","13.62%"
"Mar 12, 2020","9.69","10.64","10.74","9.62","9.97M","-15.52%"
"Mar 11, 2020","11.47","12.22","12.28","11.24","6.19M","-9.26%"
"Mar 10, 2020","12.64","12.97","13.07","11.50","10.12M","6.04%"
"Mar 09, 2020","11.92","12.97","13.79","11.91","11.13M","-16.64%"
"Mar 06, 2020","14.30","15.86","15.86","14.13","12.33M","-11.67%"
"Mar 05, 2020","16.19","16.46","16.74","16.11","5.99M","-5.27%"
"Mar 04, 2020","17.09","17.21","17.21","16.62","4.98M","0.47%"
"Mar 03, 2020","17.01","17.48","17.85","16.77","6.85M","-3.68%"
"Mar 02, 2020","17.66","17.15","17.66","16.90","6.26M","3.70%"
"Feb 28, 2020","17.03","16.10","17.04","16.02","10.25M","2.90%"
"Feb 27, 2020","16.55","17.02","17.59","16.52","8.44M","-5.16%"
"Feb 26, 2020","17.45","18.20","18.48","17.39","7.58M","-3.59%"
"Feb 25, 2020","18.10","19.50","19.64","18.05","8.16M","-6.75%"
"Feb 24, 2020","19.41","18.73","19.46","18.12","6.74M","1.15%"
"Feb 21, 2020","19.19","18.35","19.34","18.26","10.29M","3.90%"
"Feb 20, 2020","18.47","18.87","19.29","18.14","10.67M","0.33%"
"Feb 19, 2020","18.41","18.32","18.62","18.25","5.13M","0.88%"
"Feb 18, 2020","18.25","18.50","18.66","17.89","9.03M","-2.67%"
"Feb 14, 2020","18.75","19.10","19.39","18.65","8.32M","-3.75%"
"Feb 13, 2020","19.48","20.13","20.21","19.41","5.45M","-4.28%"
"Feb 12, 2020","20.35","20.37","20.65","20.25","2.53M","1.09%"
"Feb 11, 2020","20.13","19.99","20.54","19.80","3.70M","1.51%"
"Feb 10, 2020","19.83","20.19","20.39","19.76","3.08M","-2.07%"
"Feb 07, 2020","20.25","20.49","20.60","19.88","3.91M","-2.97%"
"Feb 06, 2020","20.87","21.53","21.54","20.86","4.56M","-2.29%"
"Feb 05, 2020","21.36","21.19","21.60","20.91","5.80M","2.59%"
"Feb 04, 2020","20.82","20.40","21.07","20.18","5.75M","4.31%"
"Feb 03, 2020","19.96","19.90","20.06","19.54","4.38M","0.60%"
"Jan 31, 2020","19.84","19.97","20.32","19.75","6.42M","-1.64%"
"Jan 30, 2020","20.17","19.05","20.21","18.95","6.84M","4.45%"
"Jan 29, 2020","19.31","19.31","19.59","19.10","2.67M","-0.21%"
