"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2020","7.51","7.83","8.53","6.83","17.01M","4.02%"
"Apr 08, 2020","7.22","7.18","7.34","6.80","9.46M","6.49%"
"Apr 07, 2020","6.78","7.12","7.58","6.70","9.09M","1.65%"
"Apr 06, 2020","6.67","6.31","6.70","6.06","8.09M","7.93%"
"Apr 03, 2020","6.18","6.65","6.72","6.10","10.50M","-2.06%"
"Apr 02, 2020","6.31","6.32","6.75","6.01","18.99M","7.13%"
"Apr 01, 2020","5.89","5.69","6.25","5.42","7.74M","-2.48%"
"Mar 31, 2020","6.04","5.72","6.25","5.61","15.82M","13.75%"
"Mar 30, 2020","5.31","5.13","5.42","4.84","10.49M","-0.93%"
"Mar 27, 2020","5.36","5.94","5.96","5.25","10.56M","-13.69%"
"Mar 26, 2020","6.21","6.09","6.72","5.86","12.87M","1.47%"
"Mar 25, 2020","6.12","6.20","6.73","5.51","15.96M","4.97%"
"Mar 24, 2020","5.83","5.04","5.84","4.86","19.86M","30.43%"
"Mar 23, 2020","4.47","4.10","4.63","3.86","20.42M","10.92%"
"Mar 20, 2020","4.03","4.17","4.30","3.89","37.58M","2.28%"
"Mar 19, 2020","3.94","3.30","4.23","3.00","32.35M","30.46%"
"Mar 18, 2020","3.02","3.83","4.08","2.73","27.82M","-27.92%"
"Mar 17, 2020","4.19","5.26","5.31","3.71","27.13M","-19.89%"
"Mar 16, 2020","5.23","5.99","6.60","5.18","15.17M","-27.26%"
"Mar 13, 2020","7.19","6.93","7.38","6.16","17.08M","14.67%"
"Mar 12, 2020","6.27","6.72","7.34","5.87","18.17M","-15.27%"
"Mar 11, 2020","7.40","8.80","8.80","7.20","19.92M","-20.09%"
"Mar 10, 2020","9.26","10.10","10.26","8.40","17.09M","-0.86%"
"Mar 09, 2020","9.34","8.18","10.21","7.78","21.20M","-29.88%"
"Mar 06, 2020","13.32","14.20","14.47","12.93","8.04M","-9.94%"
"Mar 05, 2020","14.79","14.86","15.15","14.57","5.21M","-3.46%"
