"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2020","13.11","12.72","14.18","12.25","53.32M","11.86%"
"Apr 08, 2020","11.72","11.40","11.95","10.92","28.29M","6.45%"
"Apr 07, 2020","11.01","12.43","12.99","10.37","56.73M","9.99%"
"Apr 06, 2020","10.01","9.23","10.17","8.81","40.97M","18.32%"
"Apr 03, 2020","8.46","9.06","9.25","8.12","24.20M","0.71%"
"Apr 02, 2020","8.40","9.16","9.90","8.08","33.02M","-12.04%"
"Apr 01, 2020","9.55","10.40","10.59","9.45","31.93M","-12.86%"
"Mar 31, 2020","10.96","10.54","12.40","10.41","34.92M","2.62%"
"Mar 30, 2020","10.68","11.11","11.84","9.82","32.58M","-11.15%"
"Mar 27, 2020","12.02","14.29","14.29","12.01","44.21M","-23.49%"
"Mar 26, 2020","15.71","17.00","20.23","15.01","51.25M","-7.37%"
"Mar 25, 2020","16.96","17.07","17.93","14.43","47.73M","23.35%"
"Mar 24, 2020","13.75","12.00","15.76","11.31","46.80M","42.19%"
"Mar 23, 2020","9.67","8.95","10.57","8.45","27.17M","10.89%"
"Mar 20, 2020","8.72","9.09","10.98","8.23","27.44M","5.95%"
"Mar 19, 2020","8.23","8.03","8.85","7.25","16.54M","5.92%"
"Mar 18, 2020","7.77","9.73","9.96","7.03","24.36M","-22.53%"
"Mar 17, 2020","10.03","11.51","11.62","9.83","25.25M","-8.32%"
"Mar 16, 2020","10.94","10.46","13.41","10.10","35.89M","-1.44%"
"Mar 13, 2020","11.10","13.33","13.60","9.87","43.49M","15.03%"
"Mar 12, 2020","9.65","11.49","13.43","9.60","29.44M","-35.80%"
"Mar 11, 2020","15.03","19.36","19.45","14.78","21.66M","-26.68%"
"Mar 10, 2020","20.50","22.24","22.25","17.12","21.71M","3.48%"
"Mar 09, 2020","19.81","23.93","24.09","19.71","12.09M","-26.90%"
"Mar 06, 2020","27.10","27.40","30.25","26.55","12.41M","-5.21%"
"Mar 05, 2020","28.59","31.31","31.38","28.00","8.78M","-13.36%"
"Mar 04, 2020","33.00","34.25","34.25","31.47","7.15M","-1.84%"
"Mar 03, 2020","33.62","35.39","35.90","33.08","5.70M","-5.54%"
"Mar 02, 2020","35.59","37.10","37.10","33.98","7.32M","-4.48%"
"Feb 28, 2020","37.26","33.28","37.26","33.21","9.21M","7.25%"
"Feb 27, 2020","34.74","35.07","37.09","33.17","10.50M","-4.06%"
"Feb 26, 2020","36.21","39.56","39.57","36.16","8.13M","-7.89%"
"Feb 25, 2020","39.31","42.95","43.06","39.18","5.90M","-7.68%"
"Feb 24, 2020","42.58","44.49","44.65","42.18","6.50M","-9.35%"
"Feb 21, 2020","46.97","48.12","48.16","46.85","4.55M","-3.17%"
"Feb 20, 2020","48.51","51.49","51.58","48.37","5.62M","-6.75%"
"Feb 19, 2020","52.02","51.70","52.35","51.70","2.29M","0.64%"
"Feb 18, 2020","51.69","52.09","52.35","51.49","2.18M","-1.47%"
"Feb 14, 2020","52.46","52.44","53.00","52.44","2.04M","-1.82%"
"Feb 13, 2020","53.43","53.41","53.64","52.91","2.25M","-1.44%"
"Feb 12, 2020","54.21","52.85","54.28","52.84","1.98M","3.28%"
"Feb 11, 2020","52.49","51.60","52.91","51.31","2.00M","2.92%"
"Feb 10, 2020","51.00","52.25","52.25","50.97","2.53M","-3.43%"
"Feb 07, 2020","52.81","53.49","54.04","52.31","2.37M","-4.16%"
"Feb 06, 2020","55.10","55.78","55.85","55.08","1.60M","-0.02%"
"Feb 05, 2020","55.11","55.17","55.62","54.90","2.20M","0.66%"
"Feb 04, 2020","54.75","55.43","55.68","54.65","1.99M","1.03%"
"Feb 03, 2020","54.19","54.19","54.67","52.75","2.46M","0.63%"
"Jan 31, 2020","53.85","54.75","54.91","53.41","2.15M","-1.73%"
"Jan 30, 2020","54.80","53.13","55.29","52.77","3.36M","-2.18%"
"Jan 29, 2020","56.02","55.16","56.22","55.13","1.43M","1.85%"
"Jan 28, 2020","55.00","54.82","55.64","54.42","1.48M","1.55%"
"Jan 27, 2020","54.16","53.12","54.59","53.10","2.78M","-3.01%"
"Jan 24, 2020","55.84","58.12","58.12","55.23","2.24M","-4.09%"
"Jan 23, 2020","58.22","56.80","58.28","55.92","1.32M","1.02%"
"Jan 22, 2020","57.63","58.13","58.68","57.48","3.23M","-0.55%"
"Jan 21, 2020","57.95","59.00","59.03","57.57","2.25M","-2.85%"
"Jan 17, 2020","59.65","58.85","59.78","58.54","1.70M","1.83%"
"Jan 16, 2020","58.58","57.75","58.61","57.69","1.31M","1.81%"
"Jan 15, 2020","57.54","57.87","58.25","57.15","1.21M","-0.62%"
"Jan 14, 2020","57.90","57.77","58.09","57.68","1.15M","0.10%"
"Jan 13, 2020","57.84","57.98","58.01","57.30","1.36M","-0.21%"
"Jan 10, 2020","57.96","58.23","58.39","57.57","1.05M","-0.17%"
"Jan 09, 2020","58.06","58.06","58.13","57.52","782.89K","0.85%"
