"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2020","31.50","29.92","33.98","29.60","54.12M","14.50%"
"Apr 08, 2020","27.51","25.58","27.53","24.60","32.66M","12.38%"
"Apr 07, 2020","24.48","28.11","28.66","23.76","43.81M","1.92%"
"Apr 06, 2020","24.02","23.90","24.79","21.81","32.39M","4.94%"
"Apr 03, 2020","22.89","24.07","24.81","21.57","28.35M","-2.26%"
"Apr 02, 2020","23.42","25.27","26.08","23.00","25.21M","-8.69%"
"Apr 01, 2020","25.65","29.20","29.59","25.37","27.54M","-18.70%"
"Mar 31, 2020","31.55","31.30","33.60","30.60","16.57M","4.61%"
"Mar 30, 2020","30.16","30.69","31.80","28.00","18.39M","-8.16%"
"Mar 27, 2020","32.84","35.00","35.00","32.04","18.38M","-7.62%"
"Mar 26, 2020","35.55","38.42","39.77","34.55","29.65M","-2.87%"
"Mar 25, 2020","36.60","38.00","39.45","33.43","32.99M","10.91%"
"Mar 24, 2020","33.00","32.30","34.12","30.13","31.50M","25.71%"
"Mar 23, 2020","26.25","25.97","26.60","23.37","25.59M","7.14%"
"Mar 20, 2020","24.50","23.37","30.74","22.20","37.41M","15.13%"
"Mar 19, 2020","21.28","21.34","23.93","18.09","31.61M","-0.47%"
"Mar 18, 2020","21.38","28.80","28.89","17.80","35.37M","-30.29%"
"Mar 17, 2020","30.67","36.49","38.14","30.05","21.08M","-13.53%"
"Mar 16, 2020","35.47","34.34","39.37","30.38","28.26M","-14.82%"
"Mar 13, 2020","41.64","41.33","42.49","34.00","24.14M","12.30%"
"Mar 12, 2020","37.08","42.77","44.31","37.01","19.42M","-24.85%"
"Mar 11, 2020","49.34","50.53","51.23","48.05","10.92M","-6.13%"
"Mar 10, 2020","52.56","51.00","54.33","46.62","15.64M","12.36%"
"Mar 09, 2020","46.78","49.59","50.99","45.91","12.31M","-10.21%"
"Mar 06, 2020","52.10","48.61","56.00","48.26","16.49M","0.99%"
"Mar 05, 2020","51.59","57.11","57.16","50.93","13.97M","-13.25%"
"Mar 04, 2020","59.47","59.51","59.74","56.31","10.67M","2.02%"
"Mar 03, 2020","58.29","63.14","63.53","57.96","9.21M","-4.85%"
"Mar 02, 2020","61.26","61.13","61.27","57.04","13.02M","-0.54%"
"Feb 28, 2020","61.59","62.85","64.88","60.83","9.96M","-5.16%"
"Feb 27, 2020","64.94","62.90","69.02","61.20","10.26M","-2.39%"
"Feb 26, 2020","66.53","71.75","71.91","65.89","9.37M","-5.72%"
"Feb 25, 2020","70.57","75.76","76.18","70.32","8.08M","-6.49%"
"Feb 24, 2020","75.47","75.08","76.02","73.65","6.33M","-3.26%"
"Feb 21, 2020","78.01","79.40","79.40","77.32","4.55M","-2.38%"
"Feb 20, 2020","79.91","79.30","81.67","79.30","2.89M","0.62%"
"Feb 19, 2020","79.42","80.94","80.94","79.19","3.35M","-1.02%"
"Feb 18, 2020","80.24","79.00","80.62","78.65","4.18M","0.87%"
"Feb 14, 2020","79.55","81.02","81.44","79.40","3.12M","-1.78%"
"Feb 13, 2020","80.99","81.00","81.74","80.37","3.00M","-1.47%"
"Feb 12, 2020","82.20","81.08","82.60","81.00","2.91M","2.07%"
"Feb 11, 2020","80.53","80.02","81.45","79.94","2.76M","1.33%"
"Feb 10, 2020","79.47","78.95","79.61","77.78","3.49M","-0.01%"
"Feb 07, 2020","79.48","80.00","80.24","78.65","3.13M","-1.27%"
"Feb 06, 2020","80.50","82.40","82.72","79.79","5.22M","-1.65%"
"Feb 05, 2020","81.85","80.76","82.36","80.05","6.99M","3.75%"
"Feb 04, 2020","78.89","76.64","79.53","76.50","6.42M","5.31%"
"Feb 03, 2020","74.91","75.49","77.12","74.88","3.95M","0.15%"
"Jan 31, 2020","74.80","77.17","77.29","74.52","5.20M","-3.79%"
"Jan 30, 2020","77.75","74.66","77.98","74.44","5.90M","3.38%"
"Jan 29, 2020","75.21","77.40","77.49","75.01","5.51M","-2.39%"
"Jan 28, 2020","77.05","78.25","78.47","77.00","7.58M","-0.75%"
"Jan 27, 2020","77.63","78.00","78.46","76.55","8.67M","-5.21%"
"Jan 24, 2020","81.90","84.31","84.73","80.28","6.87M","-3.51%"
"Jan 23, 2020","84.88","83.00","85.17","81.06","6.19M","1.85%"
"Jan 22, 2020","83.34","86.75","87.56","83.15","8.45M","-2.86%"
"Jan 21, 2020","85.79","87.88","88.00","84.57","9.55M","-4.36%"
"Jan 17, 2020","89.70","89.80","90.10","88.96","4.22M","0.18%"
"Jan 16, 2020","89.54","88.79","89.72","88.78","2.43M","1.42%"
"Jan 15, 2020","88.29","87.61","88.80","87.25","1.88M","0.50%"
"Jan 14, 2020","87.85","88.17","89.64","87.71","3.24M","1.10%"
"Jan 13, 2020","86.89","87.31","87.67","86.70","2.71M","-0.48%"
"Jan 10, 2020","87.31","88.04","88.26","86.97","2.04M","-0.73%"
"Jan 09, 2020","87.95","87.72","88.72","87.50","2.25M","0.74%"
"Jan 08, 2020","87.30","86.90","88.45","86.30","4.15M","0.61%"
"Jan 07, 2020","86.77","87.41","88.16","86.74","2.59M","-1.06%"
"Jan 06, 2020","87.70","86.72","88.07","86.65","2.65M","-0.23%"
"Jan 03, 2020","87.90","86.80","88.16","86.26","3.56M","-2.05%"
"Jan 02, 2020","89.74","89.57","90.57","89.11","2.67M","1.87%"
"Dec 31, 2019","88.09","87.71","88.46","87.71","2.07M","0.15%"
"Dec 30, 2019","87.96","88.51","88.86","87.51","1.80M","-0.46%"
"Dec 27, 2019","88.37","89.31","89.39","88.01","1.40M","-1.00%"
"Dec 26, 2019","89.26","89.30","89.72","88.80","1.04M","0.12%"
"Dec 24, 2019","89.15","89.46","89.63","88.66","771.15K","-0.32%"
"Dec 23, 2019","89.44","89.72","90.10","89.28","1.91M","0.18%"
"Dec 20, 2019","89.28","89.37","89.90","89.05","3.03M","0.07%"
"Dec 19, 2019","89.22","89.28","89.78","89.05","2.17M","0.43%"
"Dec 18, 2019","88.84","89.50","89.98","88.36","1.88M","-0.58%"
"Dec 17, 2019","89.36","88.57","89.99","88.35","2.22M","0.82%"
"Dec 16, 2019","88.63","87.95","89.46","87.95","2.09M","1.20%"
"Dec 13, 2019","87.58","88.20","89.43","87.42","1.97M","-1.01%"
"Dec 12, 2019","88.47","87.70","89.90","87.32","2.90M","1.67%"
"Dec 11, 2019","87.02","86.47","87.15","86.08","2.42M","0.59%"
"Dec 10, 2019","86.51","87.58","87.92","86.36","1.99M","-1.26%"
"Dec 09, 2019","87.61","88.49","88.58","87.30","2.24M","-1.10%"
"Dec 06, 2019","88.58","88.79","89.50","88.55","1.49M","0.82%"
"Dec 05, 2019","87.86","89.10","89.33","87.60","1.96M","-0.35%"
"Dec 04, 2019","88.17","89.16","89.81","88.13","2.07M","-0.79%"
"Dec 03, 2019","88.87","90.60","90.78","88.50","3.39M","-3.01%"
"Dec 02, 2019","91.63","93.00","93.62","91.44","1.94M","-1.26%"
